trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_11_vs_Student_0,sw_Ablated_11_vs_Student_1,sw_Student_0_vs_Student_1,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
114,1,270.0,180.0,False,1665264.354337377,1663202.451674672,3279.9529096367296,158464.98639388598,1664233.4030060247,1030.9513313524658
115,1,270.0,210.0,False,2117105.918888278,2114489.604328269,3294.4976117381557,81422.82667720554,2115797.7616082737,1308.1572800043505
116,1,270.0,240.0,False,2216893.4083640566,2214512.030883961,3364.447623367014,195341.2183962512,2215702.719624009,1190.688740047859
117,1,270.0,270.0,True,2353355.7987610684,2350865.4309555576,3594.031447933401,330701.2730183136,2352110.614858313,1245.1839027553797
118,1,270.0,300.0,False,2636666.313524899,2633950.2771092923,3423.581017570261,250895.3025764719,2635308.2953170957,1358.0182078033686
119,1,270.0,330.0,False,1872178.567913664,1870666.1820289604,3153.5342154445307,117049.43124129274,1871422.3749713122,756.1929423518013
120,1,300.0,0.0,False,735850.1086157075,737135.434431586,3299.333059945194,49269.73299496551,736492.7715236468,642.6629079392296
121,1,300.0,30.0,False,556836.3195453994,558432.4159607154,3476.982171334248,150072.70831269323,557634.3677530574,798.0482076579938
122,1,300.0,60.0,False,723577.0993755446,724522.7926591889,3290.8394497806353,76905.85059810744,724049.9460173667,472.846641822136
123,1,300.0,90.0,False,671822.4813642732,672692.0125666533,3472.3134684439974,120369.6963795998,672257.2469654633,434.7656011900399
124,1,300.0,120.0,False,525850.7373847535,527069.0705403074,3449.264901347159,229340.9003847661,526459.9039625304,609.1665777769522
125,1,300.0,150.0,False,811650.6406712395,811942.5358871098,3205.885653782413,77397.2555252251,811796.5882791746,145.94760793517344
126,1,300.0,180.0,False,1533632.2097840237,1532634.3449376277,3283.040855969991,103817.80150377026,1533133.2773608258,498.93242319801357
127,1,300.0,210.0,False,1962529.851043453,1960945.751322206,3529.598240267759,77030.3880471257,1961737.8011828295,792.0498606234323
128,1,300.0,240.0,False,1624941.281422208,1623717.9929679437,3141.9494954941797,148721.63553781394,1624329.6371950759,611.6442271322012
129,1,300.0,270.0,False,1744548.6409233422,1743627.9202244775,3312.5945594021123,106670.58987555475,1744088.2805739099,460.36034943233244
130,1,300.0,300.0,True,1815452.8436313937,1814756.1728421992,3369.7438058920034,131021.78518941384,1815104.5082367966,348.3353945972631
