trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_PCA_dir0,sw_Healthy_vs_PCA_dir1,sw_Healthy_vs_PCA_dir13,sw_Healthy_vs_PCA_dir0-1,sw_PCA_dir0_vs_PCA_dir1,sw_PCA_dir0_vs_PCA_dir13,sw_PCA_dir0_vs_PCA_dir0-1,sw_PCA_dir1_vs_PCA_dir13,sw_PCA_dir1_vs_PCA_dir0-1,sw_PCA_dir13_vs_PCA_dir0-1,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
44,1,90.0,240.0,False,0.3304198222787774,0.530093773155432,0.424743588995579,0.9214827398512611,0.5806727548890798,0.5066666723835944,0.6500623949992568,0.27420296552399076,0.6566396539306923,0.825171856096423,0.08714178570793948,0.5516849810702624,0.2248827195315097
45,1,90.0,270.0,False,0.5042806950479835,0.18689660634576577,0.7093889858267891,0.5744748779922826,0.4391938631674348,0.8492243620207942,0.221868613827608,0.6226822147418866,0.42427784771011734,0.6347557433866196,0.048801692249649475,0.49376029130320526,0.19188966780870814
46,1,90.0,300.0,False,0.16885487739154262,0.29582941013547503,1.1446006385885539,0.36856196252214457,0.34753131812990024,1.0783576108298534,0.2978107253498326,1.2880112435541413,0.4362718697390376,1.0537203697148443,0.030280288257084897,0.494461722159429,0.382101417450931
47,1,90.0,330.0,False,0.5770895574128754,0.41032054349493463,1.4101330135659225,0.5588751234902214,0.7745821527764644,1.0488126238083089,0.28697510545250127,1.5295887746078978,0.6202232322270681,1.2708589817997378,0.05657018217019303,0.7391045594909884,0.39278162694180807
48,1,120.0,0.0,False,0.7294385051335845,0.7660223079056623,0.3941584569708732,1.3937348953694704,0.9712876866293594,0.8211695348027805,0.7392710451178532,0.5801444772145943,1.482614519915123,1.2944259028971499,0.040188711819716005,0.8208385413448975,0.3611180253476581
49,1,120.0,30.0,False,1.278549568388741,0.41430327580158943,0.27951182449998646,1.5288057572110243,1.3198957484958067,1.2388125547214828,0.3967709055280879,0.47912923333068397,1.4869733855861131,1.4290847979770067,0.07877992934198755,0.8752926064753352,0.5378572112285712
50,1,120.0,60.0,False,1.6511952300779467,0.10935162802172638,0.2964556528793332,1.6506768845395547,1.6751164038536195,1.5897287977543,0.4568089697407559,0.28222531688572194,1.668173439318049,1.5040868285285296,0.012461971706837499,0.9269198488796403,0.7270319753408834
51,1,120.0,90.0,False,1.6297378475535305,0.18634616328550901,0.22673203549496057,1.7934604093732753,1.6689078870474146,1.503456899251714,0.415380168050721,0.2424749508449084,1.8358741065367306,1.629947788274162,0.02967967343689079,0.9590691139268188,0.7548880279675911
52,1,120.0,120.0,True,1.359661436343798,0.29964863305477096,0.12652088751158963,1.41780855162689,1.3962675687041308,1.2895770855105932,0.49425036300564984,0.31328254078596773,1.416869912434454,1.3245713256214375,0.025406189504518693,0.8009098771342621,0.5913608508453736
53,1,120.0,150.0,False,1.2093540958397018,0.36588138977510276,0.10571320088926536,1.347697432523567,1.2199778725162849,1.1684215635190607,0.3905233940775118,0.42450591459576714,1.2555312115632442,1.2975912141551045,0.026871898276210837,0.7571615297569092,0.5316709138192535
54,1,120.0,180.0,False,0.6293239490215561,0.5383582723595502,0.3267590762973992,0.927294352481856,0.7807726339386105,0.3635636130443787,0.414731389736019,0.614396455814729,0.7366920838863791,0.6251211016346969,0.030380164565521617,0.6054339125400904,0.21582613517778187
