trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Student_0,sw_self_reference
153,2,0.0,270.0,False,0.7201689102322979,0.057590138965704835
154,2,0.0,300.0,False,0.4125271077303948,0.03867839468746827
155,2,0.0,330.0,False,0.19582052599128275,0.023964358300484802
156,2,30.0,0.0,False,0.19883020358157455,0.017985023217914935
157,2,30.0,30.0,True,0.05137232842822394,0.02840602009066058
158,2,30.0,60.0,False,0.2079521366547901,0.04196776249628857
159,2,30.0,90.0,False,0.5236401466956457,0.024987183898724827
160,2,30.0,120.0,False,0.9095673811280942,0.0382026635207994
161,2,30.0,150.0,False,0.7505707358574741,0.015887875501348195
162,2,30.0,180.0,False,0.5847008924870233,0.09144458476663084
163,2,30.0,210.0,False,0.642839319482356,0.1376335784228767
164,2,30.0,240.0,False,1.01107800781159,0.03455172825362673
165,2,30.0,270.0,False,0.8308825161611695,0.08934100892789201
166,2,30.0,300.0,False,0.5812483475878487,0.035115829810153695
167,2,30.0,330.0,False,0.3302690900662021,0.03270982729652357
168,2,60.0,0.0,False,0.3730317235103363,0.062383616510604936
169,2,60.0,30.0,False,0.21370141531432718,0.0301454187634208
170,2,60.0,60.0,True,0.09314757734171136,0.03793790575958855
171,2,60.0,90.0,False,0.3038258951334891,0.023542727579895614
172,2,60.0,120.0,False,0.46732424873548206,0.02629368625373915
173,2,60.0,150.0,False,0.4338356998245265,0.0865314497828065
174,2,60.0,180.0,False,0.6242793724652393,0.021641120911110256
175,2,60.0,210.0,False,0.5776222492593938,0.026584896603279888
176,2,60.0,240.0,False,0.644587383903117,0.09343320560349086
177,2,60.0,270.0,False,0.8369873076843487,0.025028869732855067
178,2,60.0,300.0,False,0.5118337001671558,0.1650881739521774
179,2,60.0,330.0,False,0.426268859196892,0.035737738690239315
180,2,90.0,0.0,False,0.48412660992731277,0.04935358781499597
181,2,90.0,30.0,False,0.1622893591601241,0.09993290257804567
182,2,90.0,60.0,False,0.10866911155795315,0.026615093119550175
183,2,90.0,90.0,True,0.1391632848457996,0.019367449525589622
184,2,90.0,120.0,False,0.13388047823474147,0.021401055836878957
185,2,90.0,150.0,False,0.38093936753277835,0.1158442920926065
186,2,90.0,180.0,False,0.474394363166191,0.03275165700771208
187,2,90.0,210.0,False,0.4926495987472915,0.02925184758319435
188,2,90.0,240.0,False,0.4080699287606002,0.20295376106973737
189,2,90.0,270.0,False,0.7702085775789157,0.04278718650154413
190,2,90.0,300.0,False,0.39694007138838927,0.03255979659618291
191,2,90.0,330.0,False,0.5721382936512303,0.030116859041809607
192,2,120.0,0.0,False,0.4410439615483729,0.046582985645800545
193,2,120.0,30.0,False,0.3128111264350251,0.028757052171336617
194,2,120.0,60.0,False,0.21164983177141064,0.014936915311416669
195,2,120.0,90.0,False,0.187237903000553,0.023398949093929644
196,2,120.0,120.0,True,0.17830083632816918,0.060448144162276424
197,2,120.0,150.0,False,0.12258730099160284,0.025864741686599968
198,2,120.0,180.0,False,0.2522819400968127,0.02009909746059822
199,2,120.0,210.0,False,0.48874914498615024,0.04808410821772975
200,2,120.0,240.0,False,0.3950763586160033,0.09421818317957933
201,2,120.0,270.0,False,0.45584195782161174,0.02442557565101241
202,2,120.0,300.0,False,0.607896800654113,0.08219424642025921
203,2,120.0,330.0,False,0.6484397145187928,0.05273247561175179
204,2,150.0,0.0,False,0.3567016003377764,0.04566386298675079
205,2,150.0,30.0,False,0.24114850820040107,0.043310802625561265
206,2,150.0,60.0,False,0.45324398446919123,0.08304384692294792
207,2,150.0,90.0,False,0.3903435512562227,0.07701321246777211
208,2,150.0,120.0,False,0.22018721857172863,0.027077390733476432
209,2,150.0,150.0,True,0.09726352564037705,0.03284801466911201
210,2,150.0,180.0,False,0.2109211399859929,0.027192726933993695
211,2,150.0,210.0,False,0.2555202682358205,0.0316147992836214
212,2,150.0,240.0,False,0.3555563614330859,0.024990232421806077
213,2,150.0,270.0,False,0.31477042719259696,0.09345457150182418
214,2,150.0,300.0,False,0.5442098217710805,0.04879588475540049
215,2,150.0,330.0,False,0.5570315081441757,0.019271297151886413
216,2,180.0,0.0,False,0.44148617272329166,0.08693835435373909
217,2,180.0,30.0,False,0.3962731743644379,0.06950480061269607
218,2,180.0,60.0,False,0.47304410542201375,0.15561438125950994
219,2,180.0,90.0,False,0.4852880356844448,0.06631951147295626
220,2,180.0,120.0,False,0.3376628908861363,0.06587907893348335
221,2,180.0,150.0,False,0.12462866615789844,0.02408278201569521
222,2,180.0,180.0,True,0.25294906398302797,0.021595599035731654
223,2,180.0,210.0,False,0.2659919551102982,0.021207193628867537
224,2,180.0,240.0,False,0.20490071597183673,0.0345662243157528
225,2,180.0,270.0,False,0.47158084102919046,0.07340804213630872
226,2,180.0,300.0,False,0.5200101609692338,0.07138505750240502
227,2,180.0,330.0,False,0.4063911498508972,0.04755454265454207
228,2,210.0,0.0,False,0.5181234599389262,0.021341733695191503
229,2,210.0,30.0,False,0.303673783949175,0.031869589879061314
230,2,210.0,60.0,False,0.4998354823675039,0.08845017362584677
231,2,210.0,90.0,False,0.5758192296708693,0.05579692325437666
232,2,210.0,120.0,False,0.3665794232451427,0.06465834722133304
233,2,210.0,150.0,False,0.39985562807069774,0.028230159425527864
234,2,210.0,180.0,False,0.19846877641440075,0.03930096732167331
235,2,210.0,210.0,True,0.28464029012625836,0.018913826771141597
236,2,210.0,240.0,False,0.3289545118493271,0.02648022279164254
