ablation_idx,direction,abs_cosine,signed_cosine
6,cue2_local_pc1,0.2779458700744098,0.2779458700744098
12,cue2_local_pc1,0.20364117935658688,0.20364117935658688
3,cue2_local_pc1,0.1793059694759615,0.1793059694759615
10,cue2_local_pc1,0.15728952710616823,-0.15728952710616823
11,cue2_local_pc1,0.13200348058130368,-0.13200348058130368
1,cue2_local_pc1,0.10650814649926212,-0.10650814649926212
13,cue2_local_pc1,0.09348129772294146,0.09348129772294146
9,cue2_local_pc1,0.0918421301872641,0.0918421301872641
5,cue2_local_pc1,0.08847877710523143,0.08847877710523143
7,cue2_local_pc1,0.07122621473555407,-0.07122621473555407
0,cue2_local_pc1,0.0698637830957747,-0.0698637830957747
13,cue2_local_pc2,0.469695539178563,0.469695539178563
2,cue2_local_pc2,0.46726696093542847,0.46726696093542847
10,cue2_local_pc2,0.41041760500549157,-0.41041760500549157
9,cue2_local_pc2,0.3922075453134437,-0.3922075453134437
3,cue2_local_pc2,0.2660089105296418,-0.2660089105296418
1,cue2_local_pc2,0.22287752910692699,-0.22287752910692699
11,cue2_local_pc2,0.21242187745162677,-0.21242187745162677
7,cue2_local_pc2,0.19957180447524334,0.19957180447524334
8,cue2_local_pc2,0.12415233860449079,-0.12415233860449079
6,cue2_local_pc2,0.08278402724949793,0.08278402724949793
5,cue2_local_pc2,0.06822357482119396,0.06822357482119396
12,cue2_local_pc2,0.06569832147079649,0.06569832147079649
4,cue2_local_pc2,0.017533758146856517,-0.017533758146856517
0,cue2_local_pc2,0.004042145207465236,0.004042145207465236
13,cue2_local_pc3,0.6259825494180585,0.6259825494180585
8,cue2_local_pc3,0.43542700414398017,0.43542700414398017
3,cue2_local_pc3,0.38930321748274543,0.38930321748274543
9,cue2_local_pc3,0.34715451891731575,0.34715451891731575
2,cue2_local_pc3,0.18035596174929924,-0.18035596174929924
12,cue2_local_pc3,0.17932796307641483,0.17932796307641483
10,cue2_local_pc3,0.16261117241535758,-0.16261117241535758
0,cue2_local_pc3,0.14281189741629557,0.14281189741629557
5,cue2_local_pc3,0.12104204710951152,-0.12104204710951152
1,cue2_local_pc3,0.08645708531164484,-0.08645708531164484
11,cue2_local_pc3,0.07507656381621433,0.07507656381621433
4,cue2_local_pc3,0.05530581340726696,-0.05530581340726696
6,cue2_local_pc3,0.038328419402107704,0.038328419402107704
7,cue2_local_pc3,0.03643934774496737,0.03643934774496737
9,cue_separation,0.470923119432263,0.470923119432263
10,cue_separation,0.47002444451852887,-0.47002444451852887
4,cue_separation,0.43620505706848467,-0.43620505706848467
5,cue_separation,0.3723746249775949,-0.3723746249775949
1,cue_separation,0.2525520262372454,0.2525520262372454
8,cue_separation,0.22841435256708678,-0.22841435256708678
2,cue_separation,0.2006200637851832,-0.2006200637851832
11,cue_separation,0.1299278032872831,-0.1299278032872831
3,cue_separation,0.11924143170326253,-0.11924143170326253
7,cue_separation,0.1169045686385916,0.1169045686385916
0,cue_separation,0.11450269510906995,-0.11450269510906995
6,cue_separation,0.0820693749502911,0.0820693749502911
13,cue_separation,0.06453748638670227,-0.06453748638670227
12,cue_separation,0.02589864601196118,0.02589864601196118
12,global_pc1,0.564534087442925,0.564534087442925
0,global_pc1,0.4529697222018194,-0.4529697222018194
6,global_pc1,0.34441842637886566,0.34441842637886566
10,global_pc1,0.33981837019944927,-0.33981837019944927
11,global_pc1,0.26405248819895033,-0.26405248819895033
7,global_pc1,0.23725556349100196,0.23725556349100196
5,global_pc1,0.18729043824854127,0.18729043824854127
8,global_pc1,0.1744802497758349,-0.1744802497758349
9,global_pc1,0.16614013305863728,0.16614013305863728
13,global_pc1,0.13176599443743484,0.13176599443743484
2,global_pc1,0.054217653465233384,-0.054217653465233384
3,global_pc1,0.03030696841240109,0.03030696841240109
4,global_pc1,0.025398116572947882,0.025398116572947882
1,global_pc1,0.01562839149004977,-0.01562839149004977
2,global_pc2,0.4491214343023787,-0.4491214343023787
9,global_pc2,0.4049519708647402,0.4049519708647402
7,global_pc2,0.3948996855328634,-0.3948996855328634
3,global_pc2,0.33916183320363313,0.33916183320363313
6,global_pc2,0.3369446590315649,0.3369446590315649
4,global_pc2,0.3069502574132303,0.3069502574132303
13,global_pc2,0.2150721861211745,-0.2150721861211745
8,global_pc2,0.1784194613630003,-0.1784194613630003
5,global_pc2,0.12584273657558903,-0.12584273657558903
11,global_pc2,0.12073539914637618,-0.12073539914637618
0,global_pc2,0.1189516188984476,0.1189516188984476
1,global_pc2,0.11470203999765749,-0.11470203999765749
12,global_pc2,0.1123153878895039,-0.1123153878895039
10,global_pc2,0.07907009654011828,0.07907009654011828
10,global_pc3,0.4873904271644169,0.4873904271644169
4,global_pc3,0.48192993707974097,-0.48192993707974097
1,global_pc3,0.32616210962993253,0.32616210962993253
8,global_pc3,0.30765531474153957,0.30765531474153957
0,global_pc3,0.2703445993683069,-0.2703445993683069
7,global_pc3,0.24956933977139212,0.24956933977139212
6,global_pc3,0.2371111405437373,0.2371111405437373
2,global_pc3,0.21017396910516423,-0.21017396910516423
3,global_pc3,0.1914215525653898,0.1914215525653898
13,global_pc3,0.1690212857792614,-0.1690212857792614
5,global_pc3,0.12151184863225187,-0.12151184863225187
9,global_pc3,0.10945097687980644,0.10945097687980644
11,global_pc3,0.035319300127867576,0.035319300127867576
12,global_pc3,0.013756383523314007,-0.013756383523314007
