trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Ablated_1_vs_Student_2,sw_Ablated_1_vs_Student_3,sw_Ablated_1_vs_Student_4,sw_Ablated_1_vs_Student_5,sw_Student_0_vs_Student_1,sw_Student_0_vs_Student_2,sw_Student_0_vs_Student_3,sw_Student_0_vs_Student_4,sw_Student_0_vs_Student_5,sw_Student_1_vs_Student_2,sw_Student_1_vs_Student_3,sw_Student_1_vs_Student_4,sw_Student_1_vs_Student_5,sw_Student_2_vs_Student_3,sw_Student_2_vs_Student_4,sw_Student_2_vs_Student_5,sw_Student_3_vs_Student_4,sw_Student_3_vs_Student_5,sw_Student_4_vs_Student_5,teacher_vs_students_mean,teacher_vs_students_std
113,1,270.0,150.0,False,1.0475748695889524,0.11281181606227747,0.050957308431268694,0.11354557253179062,0.09685152719750088,0.0677597964829708,1.005259340261317,1.0415032577737269,1.003471185161458,1.0187862156506393,1.0734912136680514,0.13350741055091592,0.08378542035017575,0.09309734611856205,0.17125818750025834,0.1086573045134789,0.0995547357837724,0.08688834540505669,0.04790598722257035,0.16283720677234903,0.145392902782371,0.24825014838246015,0.35819725684556647
114,1,270.0,180.0,False,1.0391173553589663,0.13834317699245263,0.06578014194046924,0.33678975227489166,0.2826578463288637,0.10192634196316153,0.9778554263816992,1.0168976035566604,0.8299784608849011,0.8827567069713902,1.0944345111511846,0.12143077313674572,0.22674987487892345,0.1735140957330675,0.17478510074752263,0.2939033809689183,0.2430826143091193,0.13577025412308408,0.12248562368999058,0.3952934126320561,0.3223282588239339,0.3274357691431342,0.33258017001689383
115,1,270.0,210.0,False,0.7958195930810801,0.08994345356672226,0.08380318243678932,0.3447121583668477,0.3325753835746973,0.057810300483002286,0.7958866425736772,0.8130290287604524,0.7289582584217278,0.765519993301456,0.8326640384728943,0.03199488323536865,0.39292462943502654,0.3940530225833428,0.09017728961942137,0.40035488254204793,0.3998544339603733,0.07204351171320206,0.06265442788135431,0.3971024124630339,0.3829518132654451,0.28411067858485656,0.2571974745760592
116,1,270.0,240.0,False,0.6484356888746483,0.04617271959008856,0.07165469225047197,0.32764676595322906,0.3068824204884377,0.05839222752575436,0.6590392569861832,0.6754914151773107,0.6950284377223295,0.7222385160751758,0.6816793862427672,0.03995130967830794,0.36379106220504465,0.3442185752450527,0.04814112344139612,0.3969627619595879,0.37470251189517734,0.037614205303155415,0.04689132163032171,0.3761452980975424,0.3520807183741702,0.24319741911377168,0.21517594547271823
117,1,270.0,270.0,True,0.6274297115076382,0.09802424666203555,0.0925150229686739,0.2191864362920939,0.2571906859522263,0.07570270469861247,0.6182388708698359,0.6238190656586258,0.737996561738836,0.774431671788965,0.6376930518515801,0.07821549687292517,0.26144554599711006,0.30334064607129924,0.08105367523021789,0.3017178996457337,0.33837338985204074,0.03688883620255948,0.051225339744548556,0.2770599402752459,0.313253028551262,0.2283414680135467,0.1910137479769945
118,1,270.0,300.0,False,0.4953174746657112,0.0672137177580307,0.07971745930359364,0.22005093259484906,0.23142711500393007,0.041595848798930066,0.5024361575957184,0.5089782209667136,0.5829750210237532,0.6274875521476503,0.4990064029622818,0.04628947351402248,0.2290139981179521,0.23779796539015535,0.06361293522602336,0.24999634710086782,0.2617814545259376,0.07604649844444461,0.05863841484946191,0.19713282771715213,0.20992627088373933,0.18922042468750747,0.15550824217201384
119,1,270.0,330.0,False,1.015897348173106,0.1841031408180391,0.06784854492374913,0.26366043151289265,0.3807853173008731,0.06364776462939828,1.0065838440119808,1.0356267375220198,0.8232980671623658,0.6948201889347732,1.0145469511282603,0.1641953173531775,0.22192081496007238,0.4102519619021412,0.16418592400081022,0.2633289405903317,0.4149822043435474,0.05862815228163327,0.1967445817314008,0.24711822816371937,0.3725893352655058,0.32932375789300966,0.32618637500046255
120,1,300.0,0.0,False,1.1534442522985522,0.24483621522196608,0.0730050361217279,0.2976105578139395,0.33845460531190735,0.05865443992452377,1.3020231853680047,1.170061213380901,1.1355771738144,1.2044847289603124,1.160374794797887,0.25830443696998223,0.20211933846496793,0.15694782175189836,0.21833152087531515,0.33463326815145417,0.3747993146153574,0.07862681720308665,0.10350493385052113,0.2591386664470735,0.29764838584645836,0.3610008511154361,0.3697617185453187
121,1,300.0,30.0,False,0.8098234111180387,0.3753970799031392,0.03848522091558339,0.24644203903092765,0.2812512653251184,0.2870049822337124,0.8449744404979521,0.8058030335619476,0.9619723849198663,1.0076103849068558,0.7975265914864618,0.36394281316209165,0.6108350896937517,0.6479660624445611,0.11317912262557775,0.25893554374272754,0.29599889948759595,0.2714088762316243,0.05915780357026279,0.5147923778271762,0.5515203629280488,0.33973399975442,0.2337772109525216
122,1,300.0,60.0,False,0.9669593082488414,0.19608083984798247,0.059814186761620675,0.13427740664076926,0.18922364858519433,0.2745291069778214,0.9970638005640396,0.9510854670598283,0.904348764734427,0.8953576499360113,1.0091225088043891,0.15115474893945502,0.2844227976396524,0.3449000814237946,0.10498050022256626,0.15226983115696602,0.20670478093529704,0.24042483892132546,0.07513148814902357,0.38063978433372364,0.4387021591012189,0.3034807495103716,0.30376377506717406
123,1,300.0,90.0,False,0.9246952862163647,0.08504889010821179,0.0794224761436546,0.09622352203174943,0.11986648476330873,0.07011457853016859,0.9493527423229821,0.9441132256291744,0.8574445783678393,0.8668673892209382,0.9426149405524825,0.0782955330963323,0.12543585059717696,0.13711286431782316,0.09124444845440455,0.12988138699178967,0.1339423955293652,0.049068227654092994,0.06027417951003066,0.12704323939452997,0.15008091239666593,0.22922853963224296,0.3114137842080796
