trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Ablated_0,sw_Healthy_vs_Ablated_1,sw_Healthy_vs_Ablated_2,sw_Healthy_vs_Ablated_3,sw_Healthy_vs_Ablated_4,sw_Healthy_vs_Ablated_5,sw_Healthy_vs_Ablated_6,sw_Healthy_vs_Ablated_7,sw_Healthy_vs_Ablated_8,sw_Healthy_vs_Ablated_9,sw_Healthy_vs_Ablated_10,sw_Healthy_vs_Ablated_11,sw_Healthy_vs_Ablated_12,sw_Healthy_vs_Ablated_13,teacher_vs_students_mean,teacher_vs_students_std
46,1,90.0,300.0,False,2.1111144342541532,0.967187745818813,1.0434543308812292,1.2992231573541173,1.4716426279734804,0.7340948392886493,2.9046098070047357,0.8636034386627507,2.299007892859956,0.882439443185181,0.4378392890777846,32159.825784699882,1.4359866552586453,0.4683530029923581,2298.338881526035,8282.086350737653
47,1,90.0,330.0,False,1.7674989675606136,0.8564468291960375,0.13358172784432348,0.7256943149951942,0.5508703814961919,0.6056468102439402,2.8569170772467607,1.1663971366598487,2.4933804987436963,0.2747056565339677,0.6390523296398666,130583.39064079491,1.954409640240304,0.4468125013402492,9328.418718190474,33630.07836915271
48,1,120.0,0.0,False,2.246053089279071,1.19317243681088,0.9379344162041857,0.733426948587244,0.3688974835864338,1.20004340188562,2.5157756284798727,1.1581487188921118,2.1126722732380427,0.8839101867244052,0.5036498514770484,110563.90884963988,2.49543246526342,0.24480928630719698,7898.607341130472,28474.231455850157
49,1,120.0,30.0,False,2.2647593933878913,1.1417514857930255,0.8491357702832367,0.7265977386335759,0.9270091062876448,1.4265339377680126,2.620405367847063,0.853454841287923,2.2519003639462714,0.9862794774161864,0.9315575809863288,101514.42498908067,2.8506817817549766,0.7003462553150329,7252.353957298669,26143.59465891609
50,1,120.0,60.0,False,2.1034825084766315,0.9798507742659253,0.655597894521079,0.5140322902095164,0.850627340537017,1.421069322484294,2.7856504194652256,0.5873014004725777,2.2302308208039756,0.5718694289986754,1.3689823678531892,192011.3707944171,3.1579406355367383,1.2522609773195668,13716.41783504272,49450.12270303773
51,1,120.0,90.0,False,2.2503621640457294,0.9468902580320107,0.37875096015538645,0.3292995506789095,0.9327717807506376,1.469583275894669,2.673268428697355,0.4835881891542627,2.248133371920874,11.286888219491274,1.2301479219871774,254552.97689133382,3.1652266683389163,1.0159498078770932,18184.384839423634,65556.85225056781
52,1,120.0,120.0,True,2.3410356802838894,0.6389671297268171,0.3057063205248158,0.29299562861345824,1.2943290635877551,1.4569415514196176,2.817622484924258,0.38033109387526276,1.9262447035583579,149.47809525833753,1.4069923674678066,85649.5051702814,3.0827019708406764,1.1154223990719903,6129.7173254238305,22054.853743640968
53,1,120.0,150.0,False,2.2546145965337288,0.624833699923788,0.32155115276575763,0.5545446914304719,1.5250630815874207,1.7127297181735779,2.7387077610770874,0.47989572342218867,1.8379693082662891,1.175554883346721,1.2755718102339593,33437.0741575648,3.0721076333778283,1.1095114871312537,2389.6969152222905,8610.99316196815
54,1,120.0,180.0,False,2.6996551833018128,0.5762140649491947,0.5423819859689467,0.7626136988165315,1.4034869833995836,1.4730815521802776,3.1357688734346634,0.6764205582817441,1.2716133395986176,1.396561059207826,0.914291070609196,27953.427701223613,2.946372551670875,0.4376170655766525,1997.9759842293295,7198.7471329586315
55,1,120.0,210.0,False,2.507991509197014,0.5227200728557574,0.9949374834619561,0.7808002756287405,1.6036284697534775,1.4131112588609143,2.926437151266147,1.0333873160007896,1.3712870195244733,0.6755910510247902,0.774428888888435,35232.39718387078,2.6770330009080006,1.3125681202705415,2517.927936106316,9073.361285461855
56,1,120.0,240.0,False,2.404290107022187,0.6952888786375914,1.0913080661210346,0.5979914961290859,1.6746522111205249,0.9411385693501135,2.673149186005438,1.062090250514745,1.6624572062182785,0.6920342872142426,0.9298088305588719,39438.797958396026,2.2026385056167266,1.1783263572296092,2818.3287951676975,10156.690735525808
57,1,120.0,270.0,False,2.2787495857522715,0.8217613738534875,1.200164795325525,0.7799428101422823,0.8786454338302592,0.9792742915965281,2.8995622955255977,0.9999517099528313,1.7781327290236228,0.9723484065325585,1.0245952595238221,42298.39117958119,1.5138937531816214,0.7829808523204809,3022.5215130626966,10893.166322256815
58,1,120.0,300.0,False,2.1640277550456224,1.262446931191428,0.5192273144563146,1.4742931156953278,0.4918438247042627,0.8769635346953684,2.7937357334540254,0.7152902859122092,1.6571187497020816,0.5658744768031305,0.6780996209447872,323874.1074954547,1.5175612485675922,0.2282917888193085,23134.932304988197,83410.0397482721
