trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Student_0,sw_Healthy_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
70,1,150.0,300.0,False,0.8698818448999068,1.0092786545936798,1.8764732695218531,0.9395802497467933,0.0696984048468865
71,1,150.0,330.0,False,0.6817185703607147,0.951876566996327,1.6241216419842535,0.8167975686785208,0.13507899831780612
72,1,180.0,0.0,False,1.027369021457457,0.15965923740190352,0.9492874747195216,0.5935141294296802,0.4338548920277767
73,1,180.0,30.0,False,0.7418463807978837,0.12481477084139267,0.794343865249278,0.4333305758196382,0.3085158049782455
74,1,180.0,60.0,False,0.8164461403713574,0.3180385396417914,1.0756627329028337,0.5672423400065745,0.249203800364783
75,1,180.0,90.0,False,0.44824246123519124,1.3427708982329936,1.6910325095057896,0.8955066797340924,0.44726421849890113
76,1,180.0,120.0,False,0.402651771379435,1.0492525162224462,1.396817842249043,0.7259521438009406,0.3233003724215056
77,1,180.0,150.0,False,0.0963622146416635,0.45859161233983037,0.52856760204503,0.27747691349074693,0.18111469884908343
78,1,180.0,180.0,True,0.11723539901010689,0.27212318212093656,0.25544074664697203,0.19467929056552172,0.07744389155541484
79,1,180.0,210.0,False,0.1827945077131605,0.1827100306577395,0.10266950380539835,0.18275226918545,4.2238527710500295e-05
80,1,180.0,240.0,False,0.27816718440577226,0.20628477191482147,0.4753621185573125,0.24222597816029687,0.03594120624547539
81,1,180.0,270.0,False,0.5475154770689816,0.42368796032587197,0.9079215634148045,0.4856017186974268,0.06191375837155483
82,1,180.0,300.0,False,0.5257829374970016,0.6601015106870457,1.1441529689730885,0.5929422240920237,0.06715928659502207
83,1,180.0,330.0,False,0.773380933102437,0.29457723637841793,1.0313950280643633,0.5339790847404275,0.23940184836200956
84,1,210.0,0.0,False,0.6778355922620594,0.3465216053765646,1.0200506930548046,0.5121785988193119,0.16565699344274737
85,1,210.0,30.0,False,0.7605695046456046,0.72769248714655,1.475893439134811,0.7441309958960773,0.016438508749527292
86,1,210.0,60.0,False,0.6913578027351783,1.0854016556683974,1.6933462481973682,0.8883797292017879,0.19702192646660954
87,1,210.0,90.0,False,0.5222812700540859,1.129478142452625,1.5524994631541351,0.8258797062533554,0.3035984361992696
88,1,210.0,120.0,False,0.6330471918490955,0.5881077145832563,1.1340894603551053,0.6105774532161758,0.022469738632919622
89,1,210.0,150.0,False,0.2727832394503685,0.19575158663259168,0.4489866284850137,0.23426741304148008,0.0385158264088884
90,1,210.0,180.0,False,0.22217799005901584,0.15139155380343594,0.16843208622273187,0.1867847719312259,0.03539321812778995
91,1,210.0,210.0,True,0.27779803408928916,0.3093236155258135,0.393010719285949,0.2935608248075513,0.01576279071826217
92,1,210.0,240.0,False,0.18017628040239306,0.09674037486374953,0.24215011094728697,0.1384583276330713,0.04171795276932176
93,1,210.0,270.0,False,0.21587166104300978,0.27239586146973016,0.2765774826988182,0.24413376125636999,0.02826210021336019
94,1,210.0,300.0,False,0.47702113941765434,0.20131131417937237,0.45113385753982926,0.3391662267985134,0.13785491261914098
95,1,210.0,330.0,False,0.7389855508716474,0.17847661196673426,0.6038327537549333,0.45873108141919083,0.2802544694524566
96,1,240.0,0.0,False,0.8498024948847213,0.05990880595262797,0.8466993520811217,0.4548556504186746,0.39494684446604666
97,1,240.0,30.0,False,0.8724094323808556,0.5703449952099924,1.3785399251285892,0.721377213795424,0.1510322185854316
98,1,240.0,60.0,False,0.708487804838549,0.8355579006426725,1.4086090805751807,0.7720228527406108,0.06353504790206177
99,1,240.0,90.0,False,0.6330927350297225,0.7690083410575703,1.2696651519350197,0.7010505380436465,0.0679578030139239
100,1,240.0,120.0,False,0.630719934522937,0.1394041188153003,0.7236956899992242,0.3850620266691186,0.24565790785381833
101,1,240.0,150.0,False,0.37422348050211,0.15241371768013204,0.2500714713513322,0.26331859909112104,0.11090488141098899
102,1,240.0,180.0,False,0.2327587647089968,0.3159795451275136,0.14540386926960866,0.2743691549182552,0.041610390209258385
103,1,240.0,210.0,False,0.25731763858263973,0.23919885922037287,0.25776903116490996,0.2482582489015063,0.009059389681133428
104,1,240.0,240.0,True,0.24248391776555825,0.22233176930068416,0.19022809164963567,0.23240784353312122,0.010076074232437046
105,1,240.0,270.0,False,0.11955388640777131,0.2523258904002528,0.1828430129827177,0.18593988840401204,0.06638600199624073
106,1,240.0,300.0,False,0.3655337911438453,0.25189155554418935,0.19663970255805208,0.3087126733440173,0.056821117799827986
107,1,240.0,330.0,False,0.7446747211537605,0.19442744409535456,0.5707786243068533,0.4695510826245576,0.27512363852920296
108,1,270.0,0.0,False,0.6950520522631887,0.8155934986835198,0.3530764000037795,0.7553227754733542,0.06027072321016558
109,1,270.0,30.0,False,0.9347592430204461,0.5915117596937843,0.5588510187238582,0.7631355013571153,0.1716237416633309
110,1,270.0,60.0,False,0.8108775027771894,0.1643377279951183,0.6659294457481886,0.4876076153861538,0.32326988739103557
111,1,270.0,90.0,False,0.7250968714550652,0.2514829267216011,0.9391115262398204,0.48828989908833315,0.23680697236673204
112,1,270.0,120.0,False,0.6313602194172891,0.5755561275678628,0.1550432309235859,0.6034581734925759,0.02790204592471318
113,1,270.0,150.0,False,0.4908536611255863,0.5968148870698046,0.14608584980076147,0.5438342740976955,0.052980612972109126
114,1,270.0,180.0,False,0.3030532329960097,0.5359453332335973,0.24982975031012852,0.4194992831148035,0.11644605011879378
115,1,270.0,210.0,False,0.4001921545597248,0.31814688417628584,0.24477617688744435,0.35916951936800534,0.041022635191719475
116,1,270.0,240.0,False,0.26672049102257445,0.3066970084866404,0.23260935657388684,0.2867087497546074,0.01998825873203297
117,1,270.0,270.0,True,0.20125986031102922,0.38354654450141457,0.29272613355671795,0.29240320240622186,0.09114334209519268
118,1,270.0,300.0,False,0.267691640567701,0.3739905190637289,0.22108250489329517,0.32084107981571497,0.053149439248013935
119,1,270.0,330.0,False,0.47854912097712976,0.48115378409307513,0.28838011725129153,0.4798514525351024,0.0013023315579726857
120,1,300.0,0.0,False,0.4586433871169492,0.9490335935340068,0.6228885904489048,0.703838490325478,0.24519510320852883
121,1,300.0,30.0,False,0.5053310256813399,1.099050625442774,0.6547370065490881,0.802190825562057,0.2968597998807171
122,1,300.0,60.0,False,0.6047409051713177,0.8812258412834137,0.3216377873645504,0.7429833732273657,0.138242468056048
123,1,300.0,90.0,False,0.5521700715367337,0.8041598809963343,0.26718982967639904,0.678164976266534,0.1259949047298003
124,1,300.0,120.0,False,0.6040500696693126,1.3406518279617172,0.7427700262972194,0.9723509488155149,0.3683008791462023
125,1,300.0,150.0,False,0.5554226912437693,0.915852312785814,0.38085259514080627,0.7356375020147916,0.18021481077102236
126,1,300.0,180.0,False,0.604477374077029,0.6500001257621111,0.24831677624929244,0.62723874991957,0.022761375842541065
127,1,300.0,210.0,False,0.6197037005709194,0.39563198442663144,0.46113456722242985,0.5076678424987754,0.11203585807214397
128,1,300.0,240.0,False,0.2416534258040211,0.38001058053205256,0.5929123832083665,0.31083200316803683,0.06917857736401573
129,1,300.0,270.0,False,0.1650370714859258,0.44765347748177786,0.3231337692952254,0.30634527448385185,0.14130820299792604
130,1,300.0,300.0,True,0.2537849015552432,0.5097270434671516,0.2847057696624831,0.3817559725111974,0.1279710709559542
131,1,300.0,330.0,False,0.3333705074055586,0.791982478879286,0.5164514720933777,0.5626764931424223,0.22930598573686367
132,1,330.0,0.0,False,0.17426688479579988,0.7943364652151519,0.65722075594146,0.4843016750054759,0.310034790209676
133,1,330.0,30.0,False,0.2917173385307622,1.0185889134490125,0.7499796354331317,0.6551531259898873,0.3634357874591252
134,1,330.0,60.0,False,0.5240980251401188,1.1266170756159772,0.6075704684108431,0.825357550378048,0.3012595252379292
135,1,330.0,90.0,False,0.6805983695780319,1.5211888767874746,0.8530503106005092,1.1008936231827533,0.42029525360472136
136,1,330.0,120.0,False,0.8522224341063025,1.4390878480908742,0.5948101223441327,1.1456551410985885,0.29343270699228585
137,1,330.0,150.0,False,0.5136058834926467,0.43493372517569523,0.7829715656183809,0.474269804334171,0.03933607915847573
138,1,330.0,180.0,False,0.6296322593006405,0.2792872582873389,0.6634750913732064,0.4544597587939897,0.17517250050665079
139,1,330.0,210.0,False,0.5551220304929885,0.15897397181641462,0.6255810935875741,0.35704800115470153,0.1980740293382869
140,1,330.0,240.0,False,0.33416883629453986,0.24475116956335669,0.5188181166762749,0.28946000292894825,0.04470883336559158
141,1,330.0,270.0,False,0.11078147048260875,0.27639485646084083,0.36010664864597985,0.1935881634717248,0.08280669298911604
142,1,330.0,300.0,False,0.1339395664612375,0.4273322671967176,0.3698404530088826,0.28063591682897754,0.14669635036774004
143,1,330.0,330.0,True,0.15110156519159793,0.6382928799486285,0.5451029383474789,0.3946972225701132,0.24359565737851527
144,2,0.0,0.0,True,0.14526533648571321,0.9417890731379148,1.0718111768534453,0.543527204811814,0.3982618683261008
145,2,0.0,30.0,False,0.3202772476307937,0.470772548157653,0.784015106839804,0.39552489789422335,0.07524765026342967
146,2,0.0,60.0,False,0.41081936603783165,0.23955739798253253,0.6387169165752402,0.3251883820101821,0.08563098402764956
147,2,0.0,90.0,False,0.5994888349850862,0.4867437434001069,1.070814540305403,0.5431162891925966,0.05637254579248965
148,2,0.0,120.0,False,0.5398112482243999,0.7475330989800691,1.2517453556819156,0.6436721736022345,0.10386092537783465
149,2,0.0,150.0,False,1.0551180833055644,0.1916429957675898,1.1323181413573433,0.6233805395365771,0.4317375437689873
150,2,0.0,180.0,False,0.601287261439589,0.19299319728050374,0.5515114275330959,0.39714022936004634,0.20414703207954263
151,2,0.0,210.0,False,0.5061309840427932,0.2656595181710936,0.4387457429820354,0.38589525110694345,0.1202357329358498
152,2,0.0,240.0,False,0.8202356704683667,0.6156174332491651,0.44686276617066534,0.7179265518587659,0.10230911860960079
153,2,0.0,270.0,False,0.5422602568813725,1.0115667345941672,0.5371941234455183,0.7769134957377699,0.23465323885639738
154,2,0.0,300.0,False,0.518981500447375,1.3416743365482653,0.8611817537276152,0.9303279184978201,0.41134641805044514
155,2,0.0,330.0,False,0.17108067886924372,1.0900564980060587,0.9507998112223565,0.6305685884376513,0.4594879095684075
156,2,30.0,0.0,False,0.21010728375067336,0.9434455366830214,0.761451125960553,0.5767764102168474,0.36666912646617406
157,2,30.0,30.0,True,0.067139815235986,0.5286525565479678,0.5098667748364559,0.2978961858919769,0.23075637065599092
158,2,30.0,60.0,False,0.2738026492073061,0.2760014914696449,0.5402686892040538,0.2749020703384755,0.001099421131169398
159,2,30.0,90.0,False,0.5047555456558264,0.44098476920510765,0.943889472967806,0.472870157430467,0.03188538822535936
160,2,30.0,120.0,False,0.7902452271210674,0.15243879463512283,0.9391200668747083,0.47134201087809513,0.31890321624297224
