trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Ablated_1,sw_Healthy_vs_Student_0,sw_Healthy_vs_Student_1,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
71,1,150.0,330.0,False,1.315186652404256,0.892310846490275,1.3326414365519952,1.504345176155789,0.31374625023207686,1.5596906633723124,1.1800463118155087,0.20358444746895182
72,1,180.0,0.0,False,1.5544151595249964,0.23039129878377695,1.6275594551988697,1.6091756503393688,0.13454638377482178,1.6854972909259462,1.1374553045025477,0.6420858482842428
73,1,180.0,30.0,False,1.4124189513304963,0.2022463604553738,1.4550924124304219,1.541820037632321,0.10368958879368528,1.5833660810077086,1.023252574738764,0.5808004011646455
74,1,180.0,60.0,False,1.1450965502488706,0.44243643944577293,1.1926400841231342,1.330026516855398,0.14052097899010063,1.4039473647654719,0.9267243579392592,0.342992893903434
75,1,180.0,90.0,False,1.215113868579944,1.39039613934152,1.244309899770985,1.258654785732686,0.16551122988761252,1.149762975399702,1.2832733025641498,0.07667932654351457
76,1,180.0,120.0,False,0.7974951314701753,1.021420621520385,0.9347321474109873,1.1310192515748687,0.3282655798150462,1.3587764674967415,0.9178826334671825,0.09219033161043694
77,1,180.0,150.0,False,0.3283346722339331,0.4941358563474799,0.31691230987009417,0.5030464250761694,0.08299985330963028,0.5395619531560896,0.37979427948383576,0.08098606769167645
78,1,180.0,180.0,True,0.45514279303792876,0.29105270922691084,0.438027330425948,0.39658601615260536,0.06587224712838691,0.38567566794292907,0.3947409442302625,0.07365085346275467
79,1,180.0,210.0,False,0.43232865014053184,0.1778626091482205,0.44087532940700913,0.44038348180889886,0.1028311364368731,0.4355471159764062,0.35035552956525384,0.1220208100479006
80,1,180.0,240.0,False,0.5509815284318562,0.19060357789447402,0.559974949633677,0.5782445138040165,0.07059122845235363,0.5844616184478124,0.433853351986669,0.1720427463416312
81,1,180.0,270.0,False,1.1745969825140534,0.46379432980235724,1.129325098930623,1.338080222595182,0.0815887063137474,1.269524312436714,0.9225721370823446,0.324930960051796
82,1,180.0,300.0,False,1.139806062857752,0.6869822508391593,1.188760163947567,1.4163436897517023,0.11126178133634544,1.4897482954530024,1.0051828258814928,0.22588762762537734
83,1,180.0,330.0,False,1.3720127956129144,0.37136317671218455,1.3396881799908718,1.4336128146845972,0.0845373941230305,1.412106909314676,1.0276880507719903,0.46427935227690453
84,1,210.0,0.0,False,1.484181959506013,0.1223197364928435,1.63623325729364,1.5390608817500142,0.24072351463806332,1.6908855828351563,1.0809116510974988,0.6806632761989292
85,1,210.0,30.0,False,1.0833645712577997,0.6502542986315303,1.0601041701947933,1.1555624180268969,0.14777726091139062,1.2503530778032408,0.9312410133613745,0.19891440697848928
86,1,210.0,60.0,False,1.6460230513635459,1.1203797112561387,1.5327400897303902,0.8859430927713993,0.1189404663907697,0.9261465017408427,1.4330476174500248,0.22587485033656196
87,1,210.0,90.0,False,0.8087253686276792,1.1744953443162571,0.7407265260875587,1.265149394488105,0.09506561817470624,1.284788490017529,0.9079824130104983,0.19048677567675593
88,1,210.0,120.0,False,0.8397545606658324,0.6311157968618468,0.8749728286934583,1.2767166733279183,0.09296888791374727,1.3198808995881501,0.7819477287403792,0.10761903597528363
89,1,210.0,150.0,False,0.5350029260431091,0.1684719291448429,0.5238497478028056,0.6345331669674842,0.07398349670898939,0.6230314068999994,0.4091082009969192,0.17021645013406658
90,1,210.0,180.0,False,0.33399785438541585,0.12502166448773352,0.3282260448998496,0.38420546377350934,0.11793086209467746,0.3740030103767954,0.262415187924333,0.09718046325583131
91,1,210.0,210.0,True,0.4569034779668957,0.3147865607404359,0.470086783685146,0.5872966208115431,0.07822455510254409,0.5691704813146172,0.41392560746415913,0.07030819215606698
92,1,210.0,240.0,False,0.7689294243468274,0.09085594206816623,0.8004778987753685,0.785989062212934,0.0755058782557042,0.8145566416549834,0.5534210883967874,0.32733643499026716
93,1,210.0,270.0,False,1.234935591818977,0.28765888426601693,1.239837473981466,1.1200819145202368,0.04306133274371546,1.1257359437922165,0.9208106500221532,0.44771037957759313
94,1,210.0,300.0,False,1.2815149648359119,0.1955295944349666,1.2593792135787008,1.1824437087107595,0.06401039081296236,1.1657026545584668,0.9121412576165264,0.5068015421752459
95,1,210.0,330.0,False,1.4533817501811503,0.2796176270546584,1.4294446470283106,1.2780764567397622,0.06594269204742209,1.256935548690863,1.0541480080880399,0.5477628620638822
96,1,240.0,0.0,False,1.3687030712998356,0.1553260548987268,1.3973969588384698,1.2525109011936637,0.08921989556054721,1.2809534067107347,0.973808695012344,0.578873163379243
97,1,240.0,30.0,False,0.668561530872417,0.5134625046601538,0.723300258049518,0.983887540705443,0.11604183007592278,1.0449569713244002,0.6351080978606963,0.08887189215222917
98,1,240.0,60.0,False,1.086729827518925,0.6654711644694978,0.9194961891801854,0.8307968397718426,0.22047902298717104,0.827023083045855,0.8905657270562027,0.17319053867071396
99,1,240.0,90.0,False,0.8762844758070683,0.6206522882907453,0.7684703409490603,1.4034767336000638,0.34401490889192976,1.3043119695172174,0.7551357016822914,0.10478649174035196
100,1,240.0,120.0,False,1.1636446511053977,0.1624554772411466,1.2110284746248914,1.1829729797007984,0.10765448401708529,1.2237225256890902,0.8457095343238118,0.4835206900590523
101,1,240.0,150.0,False,1.0377077047397854,0.18394095669916005,1.0342344197473035,0.9254332647594303,0.045420070261059445,0.9261315120377098,0.7519610270620829,0.4016533465385997
102,1,240.0,180.0,False,0.6353685208900965,0.4172987358789271,0.6274304774360638,0.48270751052933303,0.04850161267297839,0.48803073610228265,0.5600325780683625,0.10098008190756735
103,1,240.0,210.0,False,0.6588117722784343,0.2900819121053285,0.7367474882035048,0.717485217674056,0.12065526316026434,0.8134612077812341,0.5618803908624225,0.1948064060294924
104,1,240.0,240.0,True,0.5747206462286556,0.22820260151699823,0.6950044772664603,0.5980389363648766,0.14615134648593792,0.6918653873023621,0.49930924167070473,0.19789080786106306
