trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
79,1,180.0,210.0,False,0.43053695326569336,0.11067191558854875,0.429878067687683,0.27060443442712107,0.15993251883857232
80,1,180.0,240.0,False,0.5977196206270281,0.07896318026736325,0.5986588480500818,0.3383414004471957,0.2593782201798324
81,1,180.0,270.0,False,1.293509465328933,0.056801987073497755,1.272211981107799,0.6751557262012153,0.6183537391277176
82,1,180.0,300.0,False,1.391620103835034,0.09591402239146515,1.4435992036961096,0.7437670631132496,0.6478530407217844
83,1,180.0,330.0,False,1.4359859487689508,0.0674920996802331,1.4417408468975457,0.7517390242245919,0.6842469245443589
84,1,210.0,0.0,False,1.7176456544886274,0.12252112233852713,1.7615608899030608,0.9200833884135773,0.7975622660750501
85,1,210.0,30.0,False,1.2277404534814107,0.12018736320730271,1.2492452881610818,0.6739639083443567,0.553776545137054
86,1,210.0,60.0,False,0.8921054400919073,0.15760158356055348,0.9387585783013459,0.5248535118262304,0.36725192826567693
87,1,210.0,90.0,False,1.2361871825661048,0.239485454424318,1.3478564509105373,0.7378363184952115,0.4983508640708934
88,1,210.0,120.0,False,1.1978716690556603,0.12781224315997605,1.2765980188526465,0.6628419561078182,0.5350297129478422
89,1,210.0,150.0,False,0.6205365330615812,0.09746146310683555,0.6364532663042892,0.3589989980842084,0.2615375349773728
90,1,210.0,180.0,False,0.3772381635381739,0.05286529120599498,0.383342152048433,0.21505172737208444,0.16218643616608946
91,1,210.0,210.0,True,0.5687345649430535,0.13237515036378833,0.5777511149182842,0.3505548576534209,0.2181797072896326
92,1,210.0,240.0,False,0.8049543275679789,0.10283460696652479,0.8625430460538716,0.45389446726725186,0.35105986030072706
93,1,210.0,270.0,False,1.186769721207621,0.056361037319078044,1.192998683696978,0.6215653792633495,0.5652043419442715
94,1,210.0,300.0,False,1.1786070578513006,0.050630192056549325,1.1673439061214697,0.6146186249539249,0.5639884328973757
95,1,210.0,330.0,False,1.2932827406271814,0.07791678940168136,1.2778887662534828,0.6855997650144314,0.6076829756127501
96,1,240.0,0.0,False,1.2738268378494535,0.10392131886614366,1.3134029535247573,0.6888740783577986,0.5849527594916549
97,1,240.0,30.0,False,1.0210272523187263,0.11800600266498243,1.0549581153774361,0.5695166274918544,0.45151062482687193
98,1,240.0,60.0,False,0.8770186625620988,0.2251097665713882,0.7830877800275237,0.5510642145667435,0.32595444799535533
99,1,240.0,90.0,False,1.491602895996988,0.10962831798890983,1.5291531591144014,0.800615606992949,0.690987289004039
100,1,240.0,120.0,False,1.2067860234358676,0.0964563473050439,1.245189620284806,0.6516211853704558,0.5551648380654118
101,1,240.0,150.0,False,0.8805307885771539,0.0932474430678169,0.8661777894460283,0.4868891158224854,0.3936416727546685
102,1,240.0,180.0,False,0.4931212388188725,0.07546726168997751,0.4616842612443275,0.284294250254425,0.20882698856444748
103,1,240.0,210.0,False,0.7550821027938643,0.10446731003280538,0.8310562300209294,0.4297747064133349,0.3253073963805295
104,1,240.0,240.0,True,0.578844629539865,0.15225291526366014,0.6670104978286728,0.3655487724017626,0.21329585713810245
105,1,240.0,270.0,False,0.6767584679818593,0.11803949515517734,0.7231183331215905,0.39739898156851833,0.279359486413341
106,1,240.0,300.0,False,0.7395011496072381,0.07639496527367876,0.7804164597710964,0.4079480574404584,0.3315530921667797
107,1,240.0,330.0,False,1.0125684951064269,0.0647075305209533,0.9849879017542758,0.5386380128136901,0.4739304822927368
108,1,270.0,0.0,False,1.4789377438116578,0.10742678052673515,1.5050091000041272,0.7931822621691964,0.6857554816424613
109,1,270.0,30.0,False,1.1336282368319859,0.2874947290688043,1.2780558636959976,0.7105614829503951,0.42306675388159076
110,1,270.0,60.0,False,1.0514978678047595,0.06499351701388942,1.059265566531851,0.5582456924093244,0.49325217539543503
111,1,270.0,90.0,False,1.6332317238548855,0.07020678999477316,1.6540630564583796,0.8517192569248293,0.7815124669300562
112,1,270.0,120.0,False,1.2387155981059674,0.09367523167346223,1.2371267256039435,0.6661954148897148,0.5725201832162526
