trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Multi_dir0-1,sw_Healthy_vs_Multi_dir0-1-2,sw_Healthy_vs_Multi_dir0-1-2-3,sw_Multi_dir0-1_vs_Multi_dir0-1-2,sw_Multi_dir0-1_vs_Multi_dir0-1-2-3,sw_Multi_dir0-1-2_vs_Multi_dir0-1-2-3,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
10,1,0.0,300.0,False,1.114909835979459,0.9492941390806424,0.8402853355332832,0.17599271767267255,0.282942099191117,0.18310508897315594,0.05137240970036046,0.9681631035311281,0.11290610383825775
11,1,0.0,330.0,False,0.643569880333218,0.6523518980958756,0.6745176817560083,0.1024959967351235,0.13574883616668587,0.04621158860246451,0.027608843854328328,0.656813153395034,0.013022255369413219
12,1,30.0,0.0,False,2.1044676488951817,0.8130473941055849,0.4102461182109899,1.7716768055702374,2.0883859260234505,0.5354956933432571,0.027362526774879277,1.1092537204039188,0.722680330234993
13,1,30.0,30.0,True,10.77546053278203,1.9011738888291614,0.5115202407926875,9.688019785076502,10.634631223420334,1.4501043102177897,0.01819886297211972,4.396051554134627,4.546458585390803
14,1,30.0,60.0,False,15.288959594533864,4.235507962847392,0.6032264839185721,11.230808920374148,15.09320705942255,3.9141584273881853,0.021126500146061124,6.709231347099943,6.245380681506612
15,1,30.0,90.0,False,4.970752755546986,4.546073451197514,0.8349502743274878,0.7566871859141853,4.601281396275615,4.071877901483757,0.020003811416125124,3.4505921603573295,1.857646357598955
16,1,30.0,120.0,False,1.0047015562278299,1.3182685537113805,0.9915894522814286,0.4179075145228823,0.29107329931599474,0.39277763262306187,0.11235144828942875,1.1048531874068797,0.15100236366502903
17,1,30.0,150.0,False,1.024275000172676,1.0600344038738119,1.0140105589136237,0.2337041072472137,0.2949289964637646,0.17835515040022698,0.051955098140398406,1.0327733209867038,0.019726710635134027
18,1,30.0,180.0,False,0.9534745272035425,1.0419035848696887,0.9061969830984375,0.26886802950958627,0.2709439356996255,0.26107297210304314,0.16502954188268515,0.9671916983905563,0.056244650294379805
19,1,30.0,210.0,False,1.1203532266189287,1.2080218526336297,1.0015988094633475,0.2425919449682626,0.23053811988198256,0.32166159904525743,0.012054213173146634,1.1099912962386353,0.08458977632797236
20,1,30.0,240.0,False,1.0335803537573836,1.102164593828049,0.8951346767274475,0.21246896402549104,0.20325938846907193,0.2950975217348173,0.037202783820978025,1.0102932081042935,0.0861087103924323
21,1,30.0,270.0,False,0.8121772578279401,0.8484087219345477,0.6464375303657222,0.16924027633578875,0.2580038634450097,0.2635296159158478,0.06659227383161798,0.7690078367094033,0.08792341267912276
